source_debit_note_number,dest_tenant,source_tenant,cancelInvoiceQuery
DR0413-25A001184,th429,th413,UPDATE th429.inward_invoice SET status = 'CANCELLED' WHERE id = 138815 and invoice_no = 'DR0413-25A001184' and status = 'StockHidden';
PD0224-25A004360,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68694 and invoice_no = 'PD0224-25A004360' and status = 'StockHidden';
PD0417-25A000145,th214,th417,UPDATE th214.inward_invoice SET status = 'CANCELLED' WHERE id = 1024575 and invoice_no = 'PD0417-25A000145' and status = 'StockHidden';
DR0406-25A000021,th411,th406,UPDATE th411.inward_invoice SET status = 'CANCELLED' WHERE id = 184376 and invoice_no = 'DR0406-25A000021' and status = 'StockHidden';
U0224-25A0000056,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69413 and invoice_no = 'U0224-25A0000056' and status = 'StockHidden';
PD0407-25A000578,th223,th407,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69250 and invoice_no = 'PD0407-25A000578' and status = 'StockHidden';
P0409-25A0000017,th411,th409,UPDATE th411.inward_invoice SET status = 'CANCELLED' WHERE id = 199931 and invoice_no = 'P0409-25A0000017' and status = 'StockHidden';
DR0428-25A000015,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69499 and invoice_no = 'DR0428-25A000015' and status = 'StockHidden';
U0224-25A0000024,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70218 and invoice_no = 'U0224-25A0000024' and status = 'StockHidden';
P0224-25A0000373,th428,th224,UPDATE th428.inward_invoice SET status = 'CANCELLED' WHERE id = 48514 and invoice_no = 'P0224-25A0000373' and status = 'StockHidden';
P0224-25A0000202,th425,th224,UPDATE th425.inward_invoice SET status = 'CANCELLED' WHERE id = 104670 and invoice_no = 'P0224-25A0000202' and status = 'StockHidden';
