source_tenant,dest_tenant,purchase_issue_id,partner_detail_id,invoice_id,invoice_no,invoice_tenant,tray_id,status,debit_note_number,invoice_sequence_type,pr_type,created_on,updated_on,skull_opcode,invoice_date
th214,th213,772321,186028,,,,TR-92033,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:03:24,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,772240,186028,,,,TR-94896,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:02:49,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,772341,186028,,,,TR-35594,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:03:33,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,772340,186028,,,,TR-35594,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:03:32,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,772287,186028,,,,TR-114869,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:03:11,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,772343,186028,,,,TR-95373,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:03:33,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,772289,186028,,,,TR-114869,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:03:12,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,772316,186028,,,,TR-89248,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:03:22,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,772317,186028,,,,TR-95373,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:03:23,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,772242,186028,,,,TR-94896,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:02:50,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,772295,186028,,,,TR-94896,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:03:15,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,786263,186028,,,,TR-114869,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 20:18:51,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,786287,186028,,,,TR-94896,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 20:19:02,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,786265,186028,,,,TR-94896,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 20:18:53,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,786260,186028,,,,TR-114982,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 20:18:50,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,786285,186028,,,,TR-92033,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 20:19:01,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,786286,186028,,,,TR-94896,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 20:19:02,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,786266,186028,,,,TR-2939,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 20:18:53,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,786329,186028,,,,TR-32477,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 20:19:20,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,786389,186028,,,,TR-94896,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 20:19:45,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,786331,186028,,,,TR-95353,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 20:19:22,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,786344,186028,,,,TR-130856,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 20:19:28,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,786392,186028,,,,TR-94896,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 20:19:46,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,786341,186028,,,,TR-120561,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 20:19:27,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,786330,186028,,,,TR-32477,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 20:19:22,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,786393,186028,,,,TR-94896,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 20:19:46,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,703841,186028,,,,TR-32540,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-08 6:24:14,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,729076,186028,,,,TR-92033,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-14 17:15:13,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,729061,186028,,,,TR-113818,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-14 17:15:12,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,730036,186028,,,,TR-113818,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-14 17:25:51,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,684662,186028,,,,TR-35594,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-03 14:11:22,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,684665,186028,,,,TR-35594,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-03 14:11:23,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,657219,186028,,,,TR-127737,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-06-20 9:35:52,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,657232,186028,,,,TR-66542,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-06-20 9:35:57,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,657217,186028,,,,TR-118808,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-06-20 9:35:51,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,657200,186028,,,,TR-84584,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-06-20 9:35:44,2025-08-13 8:01:59,U,2025-08-13 8:01:53
