tenant,id,status,invoice_id,invoice_no,partner_detail_id,child_tenant_partner_detail_id,tenantCode,invoice_sequence_type,error_reason
th401,98002,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98003,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98004,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98005,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98006,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98007,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98008,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98009,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98010,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98011,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98013,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98017,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98019,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98020,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98023,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98024,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98029,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98031,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98033,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98034,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98197,READY_FOR_RACKING,,,183479,174083,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98198,READY_FOR_RACKING,,,183479,174084,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98199,READY_FOR_RACKING,,,183479,174083,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98200,READY_FOR_RACKING,,,183479,174084,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98201,DISPATCH_READY,,,183479,174083,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98202,READY_FOR_RACKING,,,183479,1726,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98204,READY_FOR_RACKING,,,183479,1726,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98205,READY_FOR_RACKING,,,183479,36991,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98206,DISPATCH_READY,,,183479,1726,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98207,READY_FOR_RACKING,,,183479,1726,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98208,READY_FOR_RACKING,,,183479,174097,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98209,READY_FOR_RACKING,,,183479,1726,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98210,READY_FOR_RACKING,,,183479,174097,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98211,READY_FOR_RACKING,,,183479,8699,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98212,READY_FOR_RACKING,,,183479,1726,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98213,READY_FOR_RACKING,,,183479,174097,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98214,READY_FOR_RACKING,,,183479,8699,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98215,DISPATCH_READY,,,183479,1726,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98216,DISPATCH_READY,,,183479,174097,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98217,READY_FOR_RACKING,,,183479,8699,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98218,READY_FOR_RACKING,,,183479,174097,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98219,READY_FOR_RACKING,,,183479,1726,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98220,DISPATCH_READY,,,183479,8699,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98221,READY_FOR_RACKING,,,183479,174097,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98222,READY_FOR_RACKING,,,183479,1726,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98223,READY_FOR_RACKING,,,183479,8699,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98224,READY_FOR_RACKING,,,183479,1726,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98225,RACKING_IN_PROGRESS,,,183479,8699,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98226,READY_FOR_RACKING,,,183479,1726,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98227,RACKING_IN_PROGRESS,,,183479,8699,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98228,READY_FOR_RACKING,,,183479,174069,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98229,READY_FOR_RACKING,,,183479,1726,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98230,READY_FOR_RACKING,,,183479,8699,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98231,READY_FOR_RACKING,,,183479,8699,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98232,READY_FOR_RACKING,,,183479,1726,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98234,READY_FOR_RACKING,,,183479,1726,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98235,READY_FOR_RACKING,,,183479,8699,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98236,DISPATCH_READY,,,183479,8699,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98237,READY_FOR_RACKING,,,183479,1726,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98238,READY_FOR_RACKING,,,183479,30003,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98239,DISPATCH_READY,,,183479,8699,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98240,READY_FOR_RACKING,,,183479,1726,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98241,READY_FOR_RACKING,,,183479,30003,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98242,DISPATCH_READY,,,183479,8699,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98243,DISPATCH_READY,,,183479,1726,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98244,READY_FOR_RACKING,,,183479,30003,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98245,DISPATCH_READY,,,183479,8699,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98246,READY_FOR_RACKING,,,183479,1726,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98247,READY_FOR_RACKING,,,183479,30003,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
th402,98248,READY_FOR_RACKING,,,183479,8699,th40,DEBIT_NOTE_NUMBER,No warehouse ID found
