tenant,id,status,invoice_id,invoice_no,partner_detail_id,child_tenant_partner_detail_id,tenantCode,invoice_sequence_type
th214,652836,READY_FOR_RACKING,615271,U0023577815,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652837,READY_FOR_RACKING,,,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652838,READY_FOR_RACKING,647829,U00231127031,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652840,READY_FOR_RACKING,655363,U00231260545,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652841,READY_FOR_RACKING,647829,U00231127031,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652842,READY_FOR_RACKING,697302,U0024198295,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652843,READY_FOR_RACKING,615271,U0023577815,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652844,READY_FOR_RACKING,604422,U0023427753,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652848,READY_FOR_RACKING,646325,U00231099609,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652849,READY_FOR_RACKING,699667,U0024225970,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652856,READY_FOR_RACKING,627404,U0023803931,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652857,READY_FOR_RACKING,618988,U0023660897,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652858,READY_FOR_RACKING,618735,U0023649945,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652860,READY_FOR_RACKING,700815,U0024251818,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652861,READY_FOR_RACKING,616505,U0023585504,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652863,READY_FOR_RACKING,682425,U00231777909,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652864,READY_FOR_RACKING,641596,U00231018571,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652880,READY_FOR_RACKING,,,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652884,READY_FOR_RACKING,464763,804673,1773,,,DELIVERY_CHALLAN_NORMAL
th214,652885,READY_FOR_RACKING,489234,00810502,1773,,,DELIVERY_CHALLAN_NORMAL
th214,652886,READY_FOR_RACKING,473917,00806940,1773,,,DELIVERY_CHALLAN_NORMAL
th214,652887,READY_FOR_RACKING,511046,00816052,1773,,,DELIVERY_CHALLAN_NORMAL
th214,652890,READY_FOR_RACKING,663178,S/51746,37231,,,DELIVERY_CHALLAN_NORMAL
th214,652902,READY_FOR_RACKING,988119,SI/710131,31,,,DELIVERY_CHALLAN_NORMAL
th214,652913,READY_FOR_RACKING,,,31,,,DELIVERY_CHALLAN_NORMAL
th214,652915,READY_FOR_RACKING,982042,SI/690231,31,,,DELIVERY_CHALLAN_NORMAL
th214,652916,READY_FOR_RACKING,620215,SI/272489,31,,,DELIVERY_CHALLAN_NORMAL
th214,652919,READY_FOR_RACKING,581340,SI/60200,31,,,DELIVERY_CHALLAN_NORMAL
th214,652921,READY_FOR_RACKING,651322,SI/460042,31,,,DELIVERY_CHALLAN_NORMAL
th214,652935,DISPATCH_READY,1030295,SI/137321,31,,,DELIVERY_CHALLAN_NORMAL
th214,652938,DISPATCH_READY,1031794,SI/144516,31,,,DELIVERY_CHALLAN_NORMAL
th214,652944,READY_FOR_RACKING,733095,BWSI25/15769,7700,,,DELIVERY_CHALLAN_NORMAL
th214,652945,READY_FOR_RACKING,645083,BWSI/31791,7700,,,DELIVERY_CHALLAN_NORMAL
th214,652946,READY_FOR_RACKING,635328,BWSI/26343,7700,,,DELIVERY_CHALLAN_NORMAL
