skull_namespace,invoice_no,statuses,created_ons,created_by,total_count
th223,DR0224-25A000164,StockHidden,"2025-07-24 07:22:40, 2025-07-23 15:13:13",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th427,PD0406-25A000701,StockHidden,"2025-07-24 07:21:24, 2025-07-23 15:08:56",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th425,PD0224-25A004074,StockHidden,"2025-07-24 07:20:22, 2025-07-23 15:06:33",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th425,DR0224-25A000222,"live, StockHidden","2025-07-23 15:14:24, 2025-07-24 07:23:10","ANUJ,3fffe9b6-ca14-4fe5-b817-c22334ac62d9",2
th214,PD0413-25A003191,StockHidden,"2025-07-24 07:21:14, 2025-07-23 15:08:21",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,DR0224-25A000179,StockHidden,"2025-07-24 07:22:48, 2025-07-23 15:13:40",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th213,DR0214-25A001719,live,"2025-07-24 07:25:01, 2025-07-23 15:16:22",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,DR0224-25A000073,StockHidden,"2025-07-24 07:21:54, 2025-07-23 15:10:19",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th425,PD0224-25A004004,StockHidden,"2025-07-24 07:20:12, 2025-07-23 15:05:58",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,PD0224-25A004564,StockHidden,"2025-07-24 07:21:19, 2025-07-23 15:08:47",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,PD0224-25A004796,StockHidden,"2025-07-24 07:21:29, 2025-07-23 15:09:06",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,PD0224-25A004010,StockHidden,"2025-07-24 07:20:14, 2025-07-23 15:05:59",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th213,P0214-25A0001235,live,"2025-08-01 05:19:15, 2025-08-01 05:19:55",152753ca-2d1b-4e71-ac34-0a700128f384,2
th223,DR0224-25A000126,StockHidden,"2025-07-24 07:22:16, 2025-07-23 15:12:22",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th411,P0402-25A0000084,StockHidden,"2025-07-24 07:24:54, 2025-07-23 15:16:12",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th224,DR0428-25A000341,StockHidden,"2025-08-04 06:33:56, 2025-08-05 11:03:40","a55d4d97-db16-4eaf-9398-e738effaa310,04ac02d5-7575-44fe-98f4-98745e20ef68",2
th213,P0214-25A0001258,live,"2025-08-01 06:42:15, 2025-08-01 06:42:48",152753ca-2d1b-4e71-ac34-0a700128f384,2
th223,PD0224-25A004176,StockHidden,"2025-07-24 07:20:37, 2025-07-23 15:07:09",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th213,P0214-25A0001248,live,"2025-08-01 05:51:11, 2025-08-01 05:50:55",152753ca-2d1b-4e71-ac34-0a700128f384,2
th425,DR0224-25A000224,StockHidden,"2025-07-24 07:23:11, 2025-07-23 15:14:26",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,DR0224-25A000169,StockHidden,"2025-07-24 07:22:45, 2025-07-23 15:13:24",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th224,DR0428-25A000281,"live, StockHidden","2025-07-23 15:15:23, 2025-07-24 07:24:17","ANANDPR,3fffe9b6-ca14-4fe5-b817-c22334ac62d9",2
th223,PD0224-25A003993,StockHidden,"2025-07-24 07:20:09, 2025-07-23 15:05:51",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,DR0224-25A000174,StockHidden,"2025-07-24 07:22:47, 2025-07-23 15:13:32",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th214,PD0413-25A003129,StockHidden,"2025-07-24 07:20:57, 2025-07-23 15:07:49",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,PD0224-25A003970,StockHidden,"2025-07-24 07:20:06, 2025-07-23 15:05:31",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th213,P0214-25A0000735,live,"2025-07-15 05:28:29, 2025-07-15 09:34:17",972c7d96-fbc2-43ba-86b7-f6897914e621,2
th223,PD0224-25A004034,StockHidden,"2025-07-24 07:20:17, 2025-07-23 15:06:14",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,PD0224-25A004575,StockHidden,"2025-07-24 07:21:21, 2025-07-23 15:08:49",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,DR0224-25A000096,StockHidden,"2025-07-24 07:22:06, 2025-07-23 15:11:53",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th213,P0214-25A0001237,live,"2025-08-01 05:22:49, 2025-08-01 05:22:29",152753ca-2d1b-4e71-ac34-0a700128f384,2
th223,DR0224-25A000161,StockHidden,"2025-07-24 07:22:39, 2025-07-23 15:13:07",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th427,U0428-25A0000019,live,"2025-06-17 12:31:27, 2025-06-13 05:39:22",Amrita Paswan,2
th223,PD0224-25A004224,StockHidden,"2025-07-24 07:20:42, 2025-07-23 15:07:23",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,DR0224-25A000074,StockHidden,"2025-07-24 07:21:56, 2025-07-23 15:10:20",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
